,SimpleMinEltMax,NonincrementalInitialCreationMax,RandomMinEltMax,IsectMax,RandomMinEltTotal,AcceptsTermMax,MinifyMax,NonincrementalAcceptsTermMax,Test,InitialCreationMax,SimpleAcceptsTermTotal,NonincrementalLoopCount,RandomMinifyTotal,NonincrementalMinifyTotal,SimpleMinifyMax,RandomFullSynthMax,FullSynth,NonincrementalIsectMax,RandomInitialCreationMax,SimpleComputationTime,SimpleMinEltTotal,SimpleFullSynthMax,NonincrementalAcceptsTermTotal,NonincrementalMinifyMax,NonincrementalMinEltMax,NonincrementalComputationTime,SimpleLoopCount,NonincrementalIsectTotal,LoopCount,SimpleIsectTotal,RandomComputationTime,AcceptsTermTotal,MinEltTotal,RandomAcceptsTermMax,NonincrementalMinEltTotal,FullSynthMax,SimpleFullSynth,RandomInitialCreationTotal,SimpleAcceptsTermMax,IsectTotal,SimpleInitialCreationMax,MinEltMax,NonincrementalFullSynth,NonincrementalFullSynthMax,MinifyTotal,RandomIsectTotal,RandomLoopCount,ComputationTime,NonincrementalInitialCreationTotal,SimpleMinifyTotal,RandomMinifyMax,InitialCreationTotal,RandomIsectMax,RandomAcceptsTermTotal,RandomFullSynth,SimpleIsectMax,SimpleInitialCreationTotal,SynquidTime,LeonTime,Correct,LeonCorrect,SynquidCorrect
33,0,0,0,0,0,0,0,0,nat-iseven,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.34,9.11,\correct,\correct,\correct
34,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,nat-max,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,0.56,25.48,\na,\incorrect,\correct
35,0,0,0,0,0,0,0,0,nat-pred,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.31,2.77,\correct,\correct,\correct
36,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,tree-binsert,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\incorrect,\na,\na,\na
37,0.01,0.02,0.01,0.02,0.02,0,0,0,tree-collect-leaves,0.03,0,0,0.02,0.01,0,0,0,0.02,0.03,8.26,0.01,0,0,0,0.02,8.46,0,0.02,0,0.03,8.53,0,0.02,0,0.02,0,0,0.05,0,0.02,0.02,0.02,0,0,0.01,0.05,0,8.29,0.07,0.01,0.01,0.05,0.04,0,0,0.01,0.06,\incorrect,9.01,\correct,\correct,\na
38,0.01,0,0.02,0.01,0.02,0,0.01,0,tree-count-leaves,0,0,0,0.01,0.01,0.01,0,0,0.01,0,8.13,0.01,0,0,0.01,0.02,8.18,0,0.02,0,0.03,8.16,0,0.02,0,0.03,0,0,0.01,0,0.02,0,0.02,0,0,0.01,0.02,0,8.16,0.02,0.02,0.01,0.01,0.01,0,0,0.02,0.02,9.77,5.71,\correct,\correct,\incorrect
39,0.39,0,0.01,0.56,0.02,0,0.45,0,tree-count-nodes,0.01,0,0,0.02,0.01,0.41,0,0,0.01,0.01,14.33,0.41,0,0,0.01,0.02,11.26,0,0.03,0,1.50,11.58,0,0.54,0,0.03,0,0,0.02,0,0.61,0,0.51,0,0,0.59,0.02,0,13.49,0.04,0.95,0.01,0.02,0.01,0,0,0.69,0.04,16.26,5.31,\correct,\correct,\incorrect
40,0.78,0.38,0.01,35.67,0.02,0,1.56,0,tree-inorder,0.32,0,0,0.01,3.32,1.84,0,0,36.66,0.33,64.37,1.32,0,0,1.83,3.17,68.08,0,41.03,0,41.54,15,0,4.79,0,7.37,0,0,0.39,0,37.71,0.30,2.73,0,0,5.35,0.05,0,64.82,1.30,6.33,0.01,0.58,0.05,0,0,17.83,1.06,\incorrect,5.86,\correct,\correct,\na
41,0.01,0.06,0.11,0.07,0.30,0,0.01,0,tree-map,0.06,0,0,4.06,0.03,0.01,0,0,0.05,0.07,12.09,0.02,0,0,0.01,0.01,12.32,0,0.09,0,0.26,21.22,0,0.02,0,0.03,0,0,0.55,0,0.09,0.06,0.01,0,0,0.04,3.37,0,11.79,0.85,0.07,0.40,0.29,1.81,0,0,0.09,0.62,\incorrect,\incorrect,\correct,\na,\na
42,2.50,0.01,\incorrect,10.80,\incorrect,0,4.28,0,tree-nodes-at-level,0.01,0,0,\incorrect,7.91,3.73,\incorrect,0,11.03,\incorrect,51.54,3.55,0,0,4,4.27,43.10,0,18.75,0,26.76,\incorrect,0,6.90,\incorrect,10.05,0,0,\incorrect,0,14.11,0.01,4.35,0,0,15.39,\incorrect,\incorrect,42.73,0.14,15.37,\incorrect,0.06,\incorrect,\incorrect,\incorrect,6.16,0.13,\incorrect,\incorrect,\correct,\na,\na
43,0.99,0.19,0.96,3.96,2.27,0,0.97,0,tree-postorder,0.17,0,0,8.42,1.27,1.22,0,0,4.02,0.25,45.60,1.08,0,0,1.04,1.55,26.62,0,5.21,0,25.66,49.24,0,1.76,0,1.91,0,0,1.04,0,4.65,0.18,1.57,0,0,1.36,23.35,0,23.21,0.99,4.21,0.94,0.46,14.67,0,0,10.59,0.93,\incorrect,10.42,\correct,\correct,\na
44,0,0.18,\incorrect,1.64,\incorrect,0,0.41,0,tree-preorder,0.19,0,0,\incorrect,0.44,0,\incorrect,0,1.81,\incorrect,13.30,0,0,0,0.38,0.62,19.11,0,2.03,0,0.01,\incorrect,0,0.61,\incorrect,0.71,0,0,\incorrect,0,1.85,0.01,0.53,0,0,0.48,\incorrect,\incorrect,18.99,0.80,0.01,\incorrect,0.43,\incorrect,\incorrect,\incorrect,0,0.03,\incorrect,8.12,\correct,\correct,\na
